timestamp,client_id,write_rate_limit_kbs,read_rate_limit_kbs,write_buffer_size_kb,max_write_buffer_number
1730149801706592,0,10240,147792,10240,4
1730149801706592,1,10240,10240,10240,4
1730149801771627,0,10240,147792,10240,4
1730149801771627,1,10240,10240,10240,4
1730149801835010,0,10240,147792,10240,4
1730149801835010,1,10240,10240,10240,4
1730149801897969,0,10240,147792,10240,4
1730149801897969,1,10240,10240,10240,4
1730149801960391,0,10240,147792,10240,4
1730149801960391,1,10240,10240,10240,4
1730149802024143,0,10240,147792,10240,4
1730149802024143,1,10240,10240,10240,4
1730149802087973,0,10240,147792,10240,4
1730149802087973,1,10240,10240,10240,4
1730149802152865,0,10240,147792,10240,4
1730149802152865,1,10240,10240,10240,4
1730149802216009,0,10240,147792,10240,4
1730149802216009,1,10240,10240,10240,4
1730149802281863,0,10240,147792,10240,4
1730149802281863,1,10240,10240,10240,4
1730149802345420,0,10240,147792,10240,4
1730149802345420,1,10240,10240,10240,4
1730149802408373,0,10240,147792,10240,4
1730149802408373,1,10240,10240,10240,4
1730149802473285,0,10240,147792,10240,4
1730149802473285,1,10240,10240,10240,4
1730149802535776,0,10240,147792,10240,4
1730149802535776,1,10240,10240,10240,4
1730149802599127,0,10240,147792,10240,4
1730149802599127,1,10240,10240,10240,4
1730149802662127,0,10240,147792,10240,4
1730149802662127,1,10240,10240,10240,4
1730149802725607,0,10240,147792,10240,4
1730149802725607,1,10240,10240,10240,4
1730149802788062,0,10240,147792,10240,4
1730149802788062,1,10240,10240,10240,4
1730149802851710,0,10240,147792,10240,4
1730149802851710,1,10240,10240,10240,4
1730149802915702,0,10240,147792,10240,4
1730149802915702,1,10240,10240,10240,4
1730149802978124,0,10240,147792,10240,4
1730149802978124,1,10240,10240,10240,4
1730149803042147,0,10240,147792,10240,4
1730149803042147,1,10240,10240,10240,4
1730149803106505,0,10240,147792,10240,4
1730149803106505,1,10240,10240,10240,4
1730149803170699,0,10240,147792,10240,4
1730149803170699,1,10240,10240,10240,4
1730149803233422,0,10240,147792,10240,4
1730149803233422,1,10240,10240,10240,4
1730149803297545,0,10240,147792,10240,4
1730149803297545,1,10240,10240,10240,4
1730149803361644,0,10240,147792,10240,4
